province,year,population,region
Tokat,2009,624439,Black Sea Region
Tokat,2010,617802,Black Sea Region
Tokat,2011,608299,Black Sea Region
Tokat,2012,613990,Black Sea Region
Tokat,2013,598708,Black Sea Region
Tokat,2014,597920,Black Sea Region
Tokat,2015,593990,Black Sea Region
Tokat,2016,602662,Black Sea Region
Tokat,2017,602086,Black Sea Region
Tokat,2018,612646,Black Sea Region
Trabzon,2007,740569,Black Sea Region
Trabzon,2008,748982,Black Sea Region
Trabzon,2009,765127,Black Sea Region
Trabzon,2010,763714,Black Sea Region
Trabzon,2011,757353,Black Sea Region
Trabzon,2012,757898,Black Sea Region
Trabzon,2013,758237,Black Sea Region
Trabzon,2014,766782,Black Sea Region
Trabzon,2015,768417,Black Sea Region
Trabzon,2016,779379,Black Sea Region
Trabzon,2017,786326,Black Sea Region
Trabzon,2018,807903,Black Sea Region
Tunceli,2007,84022,Eastern Anatolia Region
Tunceli,2008,86449,Eastern Anatolia Region
Tunceli,2009,83061,Eastern Anatolia Region
Tunceli,2010,76699,Eastern Anatolia Region
Tunceli,2011,85062,Eastern Anatolia Region
Tunceli,2012,86276,Eastern Anatolia Region
Tunceli,2013,85428,Eastern Anatolia Region
Tunceli,2014,86527,Eastern Anatolia Region
Tunceli,2015,86076,Eastern Anatolia Region
Tunceli,2016,82193,Eastern Anatolia Region
Tunceli,2017,82498,Eastern Anatolia Region
Tunceli,2018,88198,Eastern Anatolia Region
Usak,2007,334115,Aegean Region
Usak,2008,334111,Aegean Region
Usak,2009,335860,Aegean Region
Usak,2010,338019,Aegean Region
Usak,2011,339731,Aegean Region
Usak,2012,342269,Aegean Region
Usak,2013,346508,Aegean Region
Usak,2014,349459,Aegean Region
Usak,2015,353048,Aegean Region
Usak,2016,358736,Aegean Region
Usak,2017,364971,Aegean Region
Usak,2018,367514,Aegean Region
Van,2007,979671,Eastern Anatolia Region
Van,2008,1004369,Eastern Anatolia Region
Van,2009,1022310,Eastern Anatolia Region
Van,2010,1035418,Eastern Anatolia Region
Van,2011,1022532,Eastern Anatolia Region
Van,2012,1051975,Eastern Anatolia Region
Van,2013,1070113,Eastern Anatolia Region
Van,2014,1085542,Eastern Anatolia Region
Van,2015,1096397,Eastern Anatolia Region
Van,2016,1100190,Eastern Anatolia Region
Van,2017,1106891,Eastern Anatolia Region
Van,2018,1123784,Eastern Anatolia Region
Yalova,2007,181758,Marmara Region
Yalova,2008,197412,Marmara Region
Yalova,2009,202531,Marmara Region
Yalova,2010,203741,Marmara Region
Yalova,2011,206535,Marmara Region
Yalova,2012,211799,Marmara Region
Yalova,2013,220122,Marmara Region
Yalova,2014,226514,Marmara Region
Yalova,2015,233009,Marmara Region
Yalova,2016,241665,Marmara Region
Yalova,2017,251203,Marmara Region
Yalova,2018,262234,Marmara Region
Yozgat,2007,492127,Central Anatolia Region
Yozgat,2008,484206,Central Anatolia Region
Yozgat,2009,487365,Central Anatolia Region
Yozgat,2010,476096,Central Anatolia Region
Yozgat,2011,465696,Central Anatolia Region
Yozgat,2012,453211,Central Anatolia Region
Yozgat,2013,444211,Central Anatolia Region
Yozgat,2014,432560,Central Anatolia Region
Yozgat,2015,419440,Central Anatolia Region
Yozgat,2016,421041,Central Anatolia Region
Yozgat,2017,418650,Central Anatolia Region
Yozgat,2018,424981,Central Anatolia Region
Zonguldak,2007,615890,Black Sea Region
Zonguldak,2008,619151,Black Sea Region
Zonguldak,2009,619812,Black Sea Region
Zonguldak,2010,619703,Black Sea Region
Zonguldak,2011,612406,Black Sea Region
Zonguldak,2012,606527,Black Sea Region
Zonguldak,2013,601567,Black Sea Region
Zonguldak,2014,598796,Black Sea Region
Zonguldak,2015,595907,Black Sea Region
Zonguldak,2016,597524,Black Sea Region
Zonguldak,2017,596892,Black Sea Region
Zonguldak,2018,599698,Black Sea Region
